"place_id","name","formatted_address","geometry.location.lat","geometry.location.lng"
"ChIJCTvufKewxUcR4meuPuoT-AU","Ben & Jerry","Gevers Deynootweg 666, 2586 BT Den Haag, Netherlands","52.11337700000001","4.283013"
"ChIJv5C930u2t4kR2L-tQ-0tHzo","Ben & Jerry's","3135 M St NW, Washington, DC 20007, USA","38.9054029","-77.06212339999999"
"ChIJiZoE23C3t4kREpkhElOaPr0","Ben & Jerry’s","705 Wharf St SW, Washington, DC 20024, USA","38.8783822","-77.02405879999999"
"ChIJNaJQ-S8e24gRRBF_PmR7IaM","Ben & Jerry's","4320 Gulf Shore Blvd N, Naples, FL 34103, USA","26.1974889","-81.81183709999999"
"ChIJS0nwGc7f2IgRfvGkaUg0vc4","Ben & Jerry's","1155 E Atlantic Ave, Delray Beach, FL 33483, USA","26.4618985","-80.0602349"
"ChIJMTPlSlFZkYgRroYG22B5YCI","Ben & Jerry’s","9375 Emerald Coast Pkwy, Miramar Beach, FL 32550, USA","30.377431","-86.332483"
"ChIJ9U5S45Fqw4gRIAnhSceYlCY","Ben & Jerry's","372A St Armands Cir, Sarasota, FL 34236, USA","27.3176796","-82.5774558"
"ChIJXwlAytGG3YgRPakH4sOUuIo","Ben & Jerry’s","3234 N John Young Pkwy, Kissimmee, FL 34741, USA","28.3465744","-81.42230479999999"
"ChIJnyn73JUn5IgR9EqsHkrZECU","Ben & Jerry's St. Augustine, FL","128 St George St, St Augustine, FL 32080, USA","29.8938941","-81.3129913"
"ChIJGYmlDhWA3YgRMVU-FmKWa4I","Ben & Jerry’s","8200 Vineland Avenue Unit #K-42, Orlando, FL 32821, United States","28.3864823","-81.4916069"
"ChIJWdJGihIO3ogRz_WDiWJa5cw","Ben & Jerry’s","1800 W Hibiscus Blvd Suite 118, Melbourne, FL 32901, USA","28.086667","-80.6522006"
"ChIJ1aOsPEt-54gRG4OlFPDvh0I","Ben & Jerry's","9101 International Dr #1040, Orlando, FL 32819, USA","28.4326068","-81.469708"
"ChIJY-tYo-oa2YgRX4obPmuAsuw","Ben & Jerry's","9641 Westview Dr, Coral Springs, FL 33076, USA","26.300087","-80.25337999999999"
"ChIJLf3R4VJ-54gRjNyEgGyB1Bk","Ben & Jerry’s","8457 International Dr, Orlando, FL 32819, USA","28.443034","-81.4691574"
"ChIJb62XXwVw54gRk_iOma3eD-Y","Ben & Jerry’s","521 S Park Ave, Winter Park, FL 32789, USA","28.5937711","-81.3508639"
"ChIJt4vnoTyr2YgRzA8H5zVXcfQ","Ben & Jerry's","1202, N Broadwalk, Hollywood, FL 33019, United States","26.0198104","-80.11528229999999"
"ChIJodKcuIe02YgRBaTmuPv6UUI","Ben & Jerry's","1631 Alton Rd, Miami Beach, FL 33139, USA","25.789936","-80.1407778"
"ChIJW9ms7OF-54gRG9jifDTYlPM","Ben & Jerry's","6300 Hollywood Way, Orlando, FL 32819, USA","28.470503","-81.4704697"
"ChIJna_rw9ak2YgRu41IEnIr8xs","Ben & Jerry’s","15484 NW 77th Ct, Miami Lakes, FL 33016, USA","25.9151559","-80.3273976"
"ChIJd4iRb52s2YgRTyO6ud3idMo","Ben & Jerry's","1723 E Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA","25.9871124","-80.1306025"
"ChIJoXucnEvZ5ogRpzxRVhQxKrc","Ben & Jerry's","227 Daytona Blvd G-620, Daytona Beach, FL 32114, USA","29.194215","-81.072362"
"ChIJJZVHI5i32YgRPQbtj2rCjvk","Ben & Jerry's","80 Aragon Ave, Coral Gables, FL 33134, USA","25.7504997","-80.25646809999999"
"ChIJvRBCrN9-54gRV00OPUHRtaA","Ben & Jerry's","1000 Universal Studios Plaza, Orlando, FL 32819, USA","28.4772181","-81.4735754"
"ChIJV10Axt5s9ogRMu9zjBxx8Z0","Ben & Jerry's","105 College Ave, Athens, GA 30601, USA","33.9579111","-83.3755714"
"ChIJe9wpz2We-4gRoSqBqSSClQo","Ben & Jerry’s","25 E Broughton St Suite 1B, Savannah, GA 31401, USA","32.0785009","-81.0910736"
"ChIJPaMe3QME9YgR9AtC0EgKoOw","Ben & Jerry’s","312 North Highland Avenue Northeast Suite B, Atlanta, GA 30307, USA","33.7633236","-84.357975"
"ChIJMZuXz_xtAHwRdqN3Z_NMuYM","Ben & Jerry's","310 Kamakee St, Honolulu, HI 96814, USA","21.294041","-157.852816"
"ChIJfUv1NuT4rlQRMqYSlELsPlk","Ben & Jerry's","103 N 10th St, Boise, ID 83702, USA","43.6170987","-116.2057705"
"ChIJJyGFwK_HD4gRtZUkmFN3zk8","Ben & Jerry's","1860 Tower Dr, Glenview, IL 60026, USA","42.0885931","-87.82446560000001"
"ChIJj3c_ZFIrDogR4OxvPsmW4C8","Ben & Jerry's","600 E Grand Ave, Chicago, IL 60611, USA","41.8917276","-87.6085693"
